"ImmuneProcesses","interaction","JanewayReferences","name","selected","shared interaction","shared name","SourceReceptors","TargetReceptors"
"Chronic antigen stimulation, Immunosuppression, Anti-inflammatory, Tolerance","Secrete","378: Although not shown, all T-cell subsets can produce IL-10 under conditions of chronic antigen stimulation, which inhibits the production of IL-12, IL-4, and IL-23 by dendritic cells and macrophages, thereby suppressing the development and/or maintenance of TH1, TH2, and TH17 cells.  And figure 9.34; 379: IL-10, which is produced by Treg cells late in an immune response, inhibits the expression of MHC molecules and co-stimulatory molecules by antigen-presenting cells.; 384: Treg cells produce inhibitory cytokines such as IL-10 and TGF-ß that may act at a distance, but also exert inhibitory actions such as sequestration of B7 and IL-2, which act via cell–cell interactions.; 385: Table Figure 9.4; 522: While these cells produce mediators that can assist bacterial clearance by macrophages and epithelial cells, they come with the risk of producing inflammation and collateral damage. This does not occur, because of IL-10 produced by T cells and FoxP3+ regulatory T cells present in the mucosa.; 525: Food proteins induce an active form of immunological tolerance in the systemic and mucosal immune systems; this tolerance may be mediated by regulatory T cells producing IL-10 and/or TGF-ß.; 651: For example, FoxP3-negative regulatory T cells characterized by their production of IL-10 are enriched in the intestinal tissues, where they may suppress inflammatory bowel disease (IBD) through an IL-10- dependent mechanism.; 510: he fact that it does not in the healthy lamina propria is because the generation of TH1, TH17, and cytotoxic T cells is balanced by the presence of substantial numbers of IL-10-producing regulatory T cells.; 514: CD4 T cells in the lamina propria produce pro-inflammatory cytokines such as IL-17 and IFN-<U+03B3> even in the absence of overt infection, but this is normally balanced by the presence of IL-10-producing Treg cells.; 610: As described in Chapter 12, the human mucosal immune system has evolved mechanisms of regulating responses to commensal flora and environmental antigens (such as food antigens) that involve the generation of IL-10/TGF-ß- producing Treg cells.; 626: Successful desensitization appears to depend on the induction of Treg cells secreting IL-10 and/or TGF-ß, which skew the response away from IgE production (see Section 14-4).; 651: If regulatory T cells encounter their self antigen on an antigen-presenting cell, they secrete inhibitory cytokines such as IL-10 and TGF-ß that inhibit all surrounding autoreactive T cells, regardless of their precise autoantigen specificity.; 377: Both iTreg and nTreg cells themselves can produce TGF-ß, as well as IL-10, which act in an inhibitory manner to suppress immune responses and inflammation, and may act to support further iTreg differentiation.; 379: A major function of iTreg cells is the prevention of inflammatory immune responses to the commensal microbiota, particularly microbes resident in mucosal tissues such as the intestines. There, iTreg cells appear to be the dominant source of IL-10, deficiency of which causes inflammatory bowel disease, an immune-mediated disease of the intestines characterized by chronic reactivity against antigens of the intestinal microbiota (see also Section 15-23).","T_reg (Secrete) IL10","false","Secrete","T_reg (Secrete) IL10","",""
"Immunosuppression","Secrete","384: Table Figure 9.39; 812: Table Appendix III","T_reg (Secrete) IL35","false","Secrete","T_reg (Secrete) IL35","",""
"","Inhibit","616: Conversely, interactions between mast cells and regulatory T cells can prevent mast-cell degranulation.","T_reg (Inhibit) Mast","false","Inhibit","T_reg (Inhibit) Mast","",""
"Immunosuppression, Tolerance, Anti-inflammatory","Secrete","377: TGF-ß produced by Treg cells inhibits the development of both TH1 and TH2 cells.; 378: under inflammatory conditions that favor IL-6 production, TGF-ß production by Treg cells similarly inhibits the activation of TH1 or TH2 responses (upper panels) in order to facilitate the development of TH17 cells, which otherwise would be potently inhibited by IFn-<U+03B3> or IL-4.; 378: Treg cells suppress the differentiation and proliferation of TH1 and TH2 cells  And Figure 9.34; 378: under homeostatic conditions, TGF-ß produced by Treg cells represses TH1 and TH2 responses in order to promote Treg development.; 379: TGF-ß produced by Treg cells can inhibit T-cell proliferation (see Fig. 9.34).; 384: Treg cells produce inhibitory cytokines such as IL-10 and TGF-ß that may act at a distance, but also exert inhibitory actions such as sequestration of B7 and IL-2, which act via cell–cell interactions.; 385: Table Figure 9.4; 525: Food proteins induce an active form of immunological tolerance in the systemic and mucosal immune systems; this tolerance may be mediated by regulatory T cells producing IL-10 and/or TGF-ß.; 610: As described in Chapter 12, the human mucosal immune system has evolved mechanisms of regulating responses to commensal flora and environmental antigens (such as food antigens) that involve the generation of IL-10/TGF-ß- producing Treg cells.; 626: Successful desensitization appears to depend on the induction of Treg cells secreting IL-10 and/or TGF-ß, which skew the response away from IgE production (see Section 14-4).; 651: If regulatory T cells encounter their self antigen on an antigen-presenting cell, they secrete inhibitory cytokines such as IL-10 and TGF-ß that inhibit all surrounding autoreactive T cells, regardless of their precise autoantigen specificity.; 377: Both iTreg and nTreg cells themselves can produce TGF-ß, as well as IL-10, which act in an inhibitory manner to suppress immune responses and inflammation, and may act to support further iTreg differentiation.","T_reg (Secrete) TGFb","false","Secrete","T_reg (Secrete) TGFb","",""
"","Differentiate","469: When acted on by IL-6 and IL-1, iTreg cells can transition into TH17 cells, or when acted on by IL-12 can become TH1 cells.","T_reg (Differentiate) Th1","false","Differentiate","T_reg (Differentiate) Th1","",""
"","Differentiate","469: When acted on by IL-6 and IL-1, iTreg cells can transition into TH17 cells, or when acted on by IL-12 can become TH1 cells.","T_reg (Differentiate) Th17","false","Differentiate","T_reg (Differentiate) Th17","",""
"","Recruit","815: Table Appendix IV","CCL18 (Recruit) B","false","Recruit","CCL18 (Recruit) B","","PITPNM3"
"","Recruit","815: Table Appendix IV","CCL18 (Recruit) DC","false","Recruit","CCL18 (Recruit) DC","","PITPNM3"
"LN development","Recruit","501: Naive T cells and B cells circulating in the bloodstream are not predetermined as to which compartment of the immune system they will end up in, and they enter Peyer’s patches and mesenteric lymph nodes through high endothelial venules (HEVs) (see Fig. 9.4). As in the systemic immune system, this process is controlled largely by the chemokines CCL21 and CCL19, which are released from the lymphoid tissues and bind the receptor CCR7 on naive lymphocytes.; 815: Table Appendix IV; 350: The cellular organization of lymphoid organs is initiated by stromal cells and vascular endothelial cells, which secrete the chemokine CCL21 (first panel). Dendritic cells with CCR7—a receptor for CCL21—are attracted to the site of the developing lymph node by CCL21 (second panel); it is not known whether at the earliest stages of lymph-node development immature dendritic cells enter from the bloodstream or via the lymphatics, as they do later in life. once in the lymph node, the dendritic cells express the chemokine CCL19, which is also bound by CCR7. Together, the chemokines secreted by stromal cells and dendritic cells attract T cells to the developing lymph node (third panel). The same combination of chemokines also attracts B cells into the developing lymph node (fourth panel).","CCL19 (Recruit) B","false","Recruit","CCL19 (Recruit) B","","CCR"
"Antigen presentation","Activate","361: TLR signaling causes the dendritic cells to become activated (‘licensed’), which involves induction of the chemokine receptor CCR7 (second panel). TLR signaling also increases the processing of antigens taken up into phagosomes. Dendritic cells expressing CCR7 are sensitive to CCL19 and CCL21, which direct them to the draining lymphoid tissue (third panel). CCL19 and CCL21 provide further maturation signals, which result in higher levels of co-stimulatory B7 molecules and MHC molecules. By the time they arrive in the draining lymph node, conventional dendritic cells have become powerful activators of naive T cells but are no longer phagocytic. They express B7.1, B7.2, and high levels of MHC class I and class II molecules, as well as high levels of the adhesion molecules ICAM-1, ICAM-2, LFA-1, and CD58 (bottom panel).","CCL19 (Activate) DC","false","Activate","CCL19 (Activate) DC","","CCR"
"","Recruit","361: TLR signaling causes the dendritic cells to become activated (‘licensed’), which involves induction of the chemokine receptor CCR7 (second panel). TLR signaling also increases the processing of antigens taken up into phagosomes. Dendritic cells expressing CCR7 are sensitive to CCL19 and CCL21, which direct them to the draining lymphoid tissue (third panel).; 815: Table Appendix IV; 351: This organization would then be reinforced by CCL21 and CCL19 secreted by resident dendritic cells, which in turn attract more T cells and migratory dendritic cells.","CCL19 (Recruit) DC","false","Recruit","CCL19 (Recruit) DC","","CCR"
"","Recruit","455-456: They are analogous to chemokines produced constitutively in lymphoid tissues at steady state, such as CCL19 and CCL21, that direct CCR7-bearing naive T cells along a gradient from the endothelium of HEVs to T-cell zones (Fig. 11.8).; 403: Naive T cells express the chemokine receptor CCR7, and localize to zones where its ligands, CCL19 and CCL21, are highly expressed by stromal cells and dendritic cells (see Section 9-3).; 501: Naive T cells and B cells circulating in the bloodstream are not predetermined as to which compartment of the immune system they will end up in, and they enter Peyer’s patches and mesenteric lymph nodes through high endothelial venules (HEVs) (see Fig. 9.4). As in the systemic immune system, this process is controlled largely by the chemokines CCL21 and CCL19, which are released from the lymphoid tissues and bind the receptor CCR7 on naive lymphocytes.; 362: Activated dendritic cells also express very high levels of adhesion molecules, including DC-SIGN, and they secrete the chemokine CCL19, which specifically attracts naive T cells.","CCL19 (Recruit) T_CD4","false","Recruit","CCL19 (Recruit) T_CD4","","CCR"
"","Recruit","455-456: They are analogous to chemokines produced constitutively in lymphoid tissues at steady state, such as CCL19 and CCL21, that direct CCR7-bearing naive T cells along a gradient from the endothelium of HEVs to T-cell zones (Fig. 11.8).; 403: Naive T cells express the chemokine receptor CCR7, and localize to zones where its ligands, CCL19 and CCL21, are highly expressed by stromal cells and dendritic cells (see Section 9-3).; 501: Naive T cells and B cells circulating in the bloodstream are not predetermined as to which compartment of the immune system they will end up in, and they enter Peyer’s patches and mesenteric lymph nodes through high endothelial venules (HEVs) (see Fig. 9.4). As in the systemic immune system, this process is controlled largely by the chemokines CCL21 and CCL19, which are released from the lymphoid tissues and bind the receptor CCR7 on naive lymphocytes.; 362: Activated dendritic cells also express very high levels of adhesion molecules, including DC-SIGN, and they secrete the chemokine CCL19, which specifically attracts naive T cells.","CCL19 (Recruit) T_CD8","false","Recruit","CCL19 (Recruit) T_CD8","","CCR"
"","Activate","370: The T-cell molecule 4-1BB (CD137) and its ligand 4-1BBL, which is expressed on activated dendritic cells, macrophages, and B cells, make up another pair of TNF-family co-stimulators. The effects of this interaction are also bidirectional, with both the T cell and the antigen-presenting cell receiving activating signals; this type of interaction is sometimes referred to as the T-cell:antigen-presenting cell dialog.; 370: The receptor CD40 on dendritic cells binds to CD40 ligand expressed on T cells, initiating two-way signaling that transmits activating signals to the T cell and also induces the dendritic cell to express increased B7, thus stimulating further T-cell proliferation.","T_CD8 (Activate) DC","false","Activate","T_CD8 (Activate) DC","41BB, CD40L","41BBL, CD40"
"Type 1, Antibacterial, Anti-IC bacteria, Antiviral, Licensing","Secrete","459: Macrophages can also be made more sensitive to IFN-<U+03B3> by very small amounts of bacterial LPS, and this latter pathway may be particularly important when CD8 T cells are the primary source of the IFN-<U+03B3>.; 459: CD8 T cells also produce IFN-<U+03B3> and can activate macrophages presenting antigens derived from cytosolic proteins on MHC class I molecules.; 470: Cytokines IL-12 and IL-18 made by dendritic cells can induce bystander CD8 T cells to produce IFN-g  And Figure 11.21; 470: IFN-g produced by bystander CD8 T cells can activate macrophages and other cells to promote general resistance to bacteria and viruses; 470: Right panels: activated dendritic cells also produce the cytokines IL-12 and IL-18, whose combined effect on CD8 T cells rapidly induces the production of IFN-<U+03B3> (upper right panel). This activates macrophages for the destruction of intracellular bacteria and can promote antiviral responses in other cells (lower right panel).; 471: Naive CD8 T cells can also undergo ‘bystander’ activation by IL-12 and IL-18 to produce IFN-<U+03B3> very early during infection (see Fig. 11.21).; 471: The source of this IFN-<U+03B3> seems to be both NK cells and naive CD8 T cells, which begin to secrete it within the first few hours after infection.","T_CD8 (Secrete) IFNg","false","Secrete","T_CD8 (Secrete) IFNg","",""
